Timestamp,X,Y,Angle Change,Velocity,Acceleration,Label
28142.88226,31.12745098,4.273504274,-0.14588678,261.0253181,-695.5419564,circle
28142.90069,26.71568627,6.196581197,-0.126072714,249.7685975,3342.59243,circle
28142.91688,23.28431373,8.333333333,-0.177332231,302.1951542,15963.6154,circle
28142.93256,19.60784314,11.32478632,-0.137432043,580.9996972,-20314.69948,circle
28142.95003,12.99019608,19.01709402,-0.027262668,248.8320145,1.89E+12,circle
28142.96638,10.78431373,22.43589744,-0.092850009,2833200.447,-179459957.3,circle
28142.96638,8.578431373,26.06837607,-0.015731599,496.8049969,-6121.929506,circle
28142.98216,5.147058824,33.11965812,-0.157893204,399.1296116,-7621.524229,circle
28142.99812,2.450980392,38.88888889,-0.029683607,276.6540037,-1382.639169,circle
28143.01419,1.225490196,43.16239316,-0.145684374,255.1451157,-6733.674323,circle
28143.02974,0.245098039,47.00854701,-0.103902552,146.5969389,9923.603648,circle
28143.04586,0,49.35897436,0,305.9839065,1.14E+12,circle
28143.06193,0,54.27350427,0,1709401.131,-105111602.5,circle
28143.06193,0,56.83760684,-0.225509635,275.9626009,-4696.00034,circle
28143.07819,0,61.32478632,-0.255103472,197.9526432,-1979.170219,circle
28143.0948,0.735294118,64.52991453,-0.122173365,166.4305971,-582.1871321,circle
28143.11073,1.960784314,66.88034188,-0.211175349,156.7995918,4716.219476,circle
28143.12727,3.431372549,69.01709402,-0.123559324,237.2276406,4209.413711,circle
28143.14432,6.37254902,71.79487179,-0.119669177,314.5406795,19362.49828,circle
28143.16269,11.02941176,75.21367521,-0.046999824,615.5171613,6573.113575,circle
28143.17823,19.3627451,79.91452991,-0.109040329,727.1516358,4911.810807,circle
28143.19522,30.39215686,85.47008547,0.004743115,805.3452079,-4538.215981,circle
28143.21114,42.40196078,89.95726496,-0.065076659,730.4328767,-9510.151173,circle
28143.22764,53.67647059,94.23076923,-0.035157344,573.0237075,-9922.063043,circle
28143.2442,62.74509804,97.00854701,-0.102012556,415.4494399,330.4664623,circle
28143.26008,69.11764706,98.71794872,-0.128936932,420.7148282,640.1650063,circle
28143.27601,75.73529412,99.78632479,-0.210790935,430.9150253,-4387.519429,circle
28143.29194,82.59803922,100,,357.5517517,,circle
28143.30866,88.48039216,98.93162393,,,,circle
28143.32564,75.7518797,100,-0.237575023,256.7320049,7393.989947,circle
28143.34137,78.94736842,97.53363229,-0.066095765,384.0099296,-5209.868064,circle
28143.35858,83.08270677,92.37668161,-0.091674957,297.913213,5305.526643,circle
28143.37511,85.90225564,88.34080717,-0.099127291,386.4868581,4303.005503,circle
28143.3918,89.09774436,82.73542601,-0.114401569,459.9645497,-6345.987533,circle
28143.40888,92.29323308,75.56053812,-0.008693259,360.7310735,-3481.653504,circle
28143.42451,93.98496241,70.1793722,0.0490247,301.1021866,630.6372817,circle
28143.44164,95.4887218,65.24663677,-0.086124336,311.2397439,-1558.094819,circle
28143.45772,97.18045113,60.53811659,0.013693815,287.3440227,-1582.292608,circle
28143.47305,98.30827068,56.27802691,-0.133671795,262.0403158,-1396.090349,circle
28143.48904,99.43609023,52.24215247,-0.138825542,238.151395,-1984.798356,circle
28143.50616,100,48.20627803,-0.041892769,205.6995449,3429.832558,circle
28143.52251,100,44.84304933,-0.056418201,264.0080703,-2192.257191,circle
28143.53951,99.81203008,40.35874439,-0.079438614,227.0218416,7905.635512,circle
28143.55638,99.43609023,36.5470852,-0.028846511,365.12776,-8837.162566,circle
28143.57385,98.30827068,30.2690583,-0.144945351,213.1895404,1332.069406,circle
28143.59104,97.55639098,26.68161435,-0.089104232,234.86191,-907.8539051,circle
28143.60731,96.2406015,23.0941704,-0.085232357,218.3724687,-693.4311041,circle
28143.62547,94.54887218,19.50672646,-0.120504046,207.0875016,-2299.642175,circle
28143.64175,92.85714286,16.59192825,-0.176475936,168.8288147,-1476.278042,circle
28143.65838,91.16541353,14.34977578,-0.126756226,145.398363,4421.624581,circle
28143.67425,89.47368421,12.78026906,-0.175997258,216.2823109,6348.437027,circle
28143.69029,86.65413534,10.76233184,0.006055072,319.6812093,7475.329985,circle
28143.70657,81.95488722,8.520179372,-0.026349668,434.639824,-3747.414206,circle
28143.72195,75.93984962,5.605381166,-0.184074326,374.8213499,2269.030868,circle
28143.73791,70.4887218,3.139013453,-0.04457043,411.1403656,1289.640905,circle
28143.75392,64.09774436,1.569506726,-0.164018119,431.7488273,367.6288999,circle
28143.7699,57.33082707,0.224215247,6.250957952,437.5947518,-1796.252435,circle
28143.7858,50.37593985,0,0,408.6785004,-3543.968254,circle
28143.8019,43.79699248,0,0,351.8849916,-5308.155927,circle
28143.81793,38.15789474,0,-0.186160078,265.4241554,-2785.535866,circle
28143.83421,33.83458647,0,-0.248173383,219.2525057,1070.624102,circle
28143.85079,30.26315789,0.67264574,-0.103444038,236.1611933,-839.7352283,circle
28143.86658,26.87969925,2.242152466,-0.224219706,221.2060967,5358.23277,circle
28143.88439,23.4962406,4.260089686,-0.046948653,310.794677,14564.70143,circle
28143.90111,19.73684211,7.847533632,-0.156144334,549.1401899,-11345.5283,circle
28143.91748,13.53383459,14.34977578,-0.05818036,339.5270164,3236.970889,circle
28143.93595,9.962406015,19.50672646,-0.105018064,387.7556168,-2255.58905,circle
28143.95085,6.954887218,24.43946188,0.004243757,351.0937235,-1184.499409,circle
28143.96711,4.511278195,29.59641256,-0.196932834,332.4943584,113.7178548,circle
28143.98281,2.255639098,34.30493274,-0.160236269,334.304758,3736.73597,circle
28143.99873,0.939849624,39.46188341,-0.041713485,394.0745972,6261.053025,circle
28144.01472,0.37593985,45.73991031,-0.125697021,493.7086123,4182.761037,circle
28144.03064,0,53.58744395,-0.099921444,565.2668698,-10362.18385,circle
28144.04774,0.751879699,63.22869955,0.00305481,400.0480657,-8447.064293,circle
28144.06369,1.879699248,69.50672646,-0.097802563,258.9153602,-532.1497608,circle
28144.0804,2.631578947,73.76681614,-0.159540854,249.9953063,3328.016491,circle
28144.09716,3.759398496,77.80269058,-0.164222236,304.0459549,2222.560814,circle
28144.1134,5.827067669,82.28699552,,341.1218254,,circle
28144.13008,9.022556391,86.9955157,,,,circle
28144.14606,0,84.45475638,-0.207001027,473.1737943,5228.008824,circle
28144.16205,6.833712984,87.70301624,0.042283125,556.7827254,-5068.248291,circle
28144.17804,15.48974943,89.79118329,0.038457256,476.0571871,-311.440701,circle
28144.19397,22.77904328,91.87935035,-0.001059487,471.1438052,-3168.789391,circle
28144.20975,29.8405467,94.19953596,0.021372121,420.5787991,-1878.621514,circle
28144.2257,36.21867882,96.28770302,-0.128669841,386.5517033,-1653.207791,circle
28144.24382,42.82460137,98.60788863,-0.1555414,360.9549218,-5861.799005,circle
28144.2593,48.29157175,99.76798144,-0.113401073,265.1279902,-1711.611184,circle
28144.27565,52.61958998,100,-0.15504922,237.1260312,-2394.594983,circle
28144.29201,56.49202733,99.76798144,0.023262044,197.5622934,4459.140119,circle
28144.30853,59.68109339,99.07192575,-0.099437575,276.2246465,-1702.71474,circle
28144.32617,64.46469248,98.14385151,-0.114073715,248.5289697,1719.596786,circle
28144.34244,68.33712984,96.9837587,-0.143425867,277.6909237,1916.085348,circle
28144.3594,72.66514806,95.12761021,-0.149396677,310.6257483,-957.922638,circle
28144.37658,77.22095672,92.34338747,-0.06632294,294.1666258,2769.646064,circle
28144.39377,81.09339408,89.09512761,-0.088988096,338.1095533,-614.1155165,circle
28144.40963,84.96583144,85.38283063,-0.051732313,327.7225262,1157.369454,circle
28144.42655,88.61047836,81.20649652,-0.119677478,347.3813723,-1182.916142,circle
28144.44353,92.25512528,76.56612529,-0.126369454,326.7391308,1518.636649,circle
28144.46098,95.21640091,71.6937355,-0.116962452,350.9281272,-986.9249783,circle
28144.47691,97.49430524,66.58932715,-0.180667235,335.1822326,959.4622541,circle
28144.49286,99.08883827,61.48491879,-0.075394252,350.5380422,-3815.898044,circle
28144.50887,99.77220957,55.91647332,-0.046717258,285.2980149,5683.793012,circle
28144.52597,100,51.04408353,0,370.6810903,-5043.90375,circle
28144.54099,100,45.47563805,0,284.210422,4.08E+11,circle
28144.55813,100,40.60324826,-0.162192111,1020882.811,-64440126.8,circle
28144.55813,100,38.05104408,-0.118919162,267.1941655,-1765.263795,circle
28144.57397,99.3166287,33.87470998,-0.151687303,236.5580123,1142.078392,circle
